qualifyId,circuitId,raceId,driverId,constructorId,year,date,number,position,q1,q2,q3
38,2,19,3,3,2008,2008-03-23,7,16,1:35.843,1:35.670,\N
39,2,19,21,10,2008,2008-03-23,21,17,1:36.240,\N,\N
40,2,19,6,3,2008,2008-03-23,8,18,1:36.388,\N,\N
41,2,19,7,5,2008,2008-03-23,14,19,1:36.677,\N,\N
42,2,19,11,8,2008,2008-03-23,18,20,1:37.087,\N,\N
43,2,19,16,10,2008,2008-03-23,20,21,1:37.101,\N,\N
44,2,19,19,8,2008,2008-03-23,19,22,1:37.481,\N,\N
45,3,20,9,2,2008,2008-04-06,4,1,1:32.893,1:31.745,1:33.096
46,3,20,13,6,2008,2008-04-06,2,2,1:31.937,1:31.188,1:33.123
47,3,20,1,1,2008,2008-04-06,22,3,1:32.750,1:31.922,1:33.292
48,3,20,8,6,2008,2008-04-06,1,4,1:32.652,1:31.933,1:33.418
49,3,20,5,1,2008,2008-04-06,23,5,1:33.057,1:31.718,1:33.488
50,3,20,2,2,2008,2008-04-06,3,6,1:33.137,1:31.909,1:33.737
51,3,20,15,7,2008,2008-04-06,11,7,1:32.493,1:32.159,1:33.994
52,3,20,3,3,2008,2008-04-06,7,8,1:32.903,1:32.185,1:34.015
53,3,20,18,11,2008,2008-04-06,16,9,1:32.793,1:32.362,1:35.057
54,3,20,4,4,2008,2008-04-06,5,10,1:32.947,1:32.345,1:35.115
55,3,20,17,9,2008,2008-04-06,10,11,1:33.194,1:32.371,\N
56,3,20,22,11,2008,2008-04-06,17,12,1:32.944,1:32.508,\N
57,3,20,10,7,2008,2008-04-06,12,13,1:32.800,1:32.528,\N
58,3,20,12,4,2008,2008-04-06,6,14,1:32.975,1:32.790,\N
59,3,20,7,5,2008,2008-04-06,14,15,1:33.415,1:32.915,\N
60,3,20,6,3,2008,2008-04-06,8,16,1:33.386,1:32.943,\N
61,3,20,14,9,2008,2008-04-06,9,17,1:33.433,\N,\N
62,3,20,21,10,2008,2008-04-06,21,18,1:33.501,\N,\N
63,3,20,20,5,2008,2008-04-06,15,19,1:33.562,\N,\N
64,3,20,16,10,2008,2008-04-06,20,20,1:33.845,\N,\N
65,3,20,19,8,2008,2008-04-06,19,21,1:34.140,\N,\N
66,3,20,11,8,2008,2008-04-06,18,22,1:35.725,\N,\N
67,4,21,8,6,2008,2008-04-27,1,1,1:20.701,1:20.784,1:21.813
68,4,21,4,4,2008,2008-04-27,5,2,1:21.347,1:20.804,1:21.904
69,4,21,13,6,2008,2008-04-27,2,3,1:21.528,1:20.584,1:22.058
70,4,21,9,2,2008,2008-04-27,4,4,1:21.423,1:20.597,1:22.065
71,4,21,1,1,2008,2008-04-27,22,5,1:21.366,1:20.825,1:22.096
72,4,21,5,1,2008,2008-04-27,23,6,1:21.430,1:20.817,1:22.231
73,4,21,17,9,2008,2008-04-27,10,7,1:21.494,1:20.984,1:22.429
74,4,21,15,7,2008,2008-04-27,11,8,1:21.158,1:20.907,1:22.529
75,4,21,2,2,2008,2008-04-27,3,9,1:21.466,1:20.815,1:22.542
76,4,21,12,4,2008,2008-04-27,6,10,1:21.409,1:20.894,1:22.699
77,4,21,22,11,2008,2008-04-27,17,11,1:21.548,1:21.049,\N
78,4,21,6,3,2008,2008-04-27,8,12,1:21.690,1:21.117,\N
79,4,21,18,11,2008,2008-04-27,16,13,1:21.757,1:21.211,\N
80,4,21,10,7,2008,2008-04-27,12,14,1:21.427,1:21.230,\N
81,4,21,3,3,2008,2008-04-27,7,15,1:21.472,1:21.349,\N
82,4,21,7,5,2008,2008-04-27,14,16,1:21.540,1:21.724,\N
83,4,21,14,9,2008,2008-04-27,9,17,1:21.810,\N,\N
84,4,21,20,5,2008,2008-04-27,15,18,1:22.108,\N,\N
85,4,21,21,10,2008,2008-04-27,21,19,1:22.516,\N,\N
86,4,21,16,10,2008,2008-04-27,20,20,1:23.224,\N,\N
87,4,21,19,8,2008,2008-04-27,19,21,1:23.318,\N,\N
88,4,21,11,8,2008,2008-04-27,18,22,1:23.496,\N,\N
89,5,22,13,6,2008,2008-05-11,2,1,1:25.994,1:26.192,1:27.617
90,5,22,5,1,2008,2008-05-11,23,2,1:26.736,1:26.290,1:27.808
91,5,22,1,1,2008,2008-05-11,22,3,1:26.192,1:26.477,1:27.923
92,5,22,8,6,2008,2008-05-11,1,4,1:26.457,1:26.050,1:27.936
93,5,22,9,2,2008,2008-05-11,4,5,1:26.761,1:26.129,1:28.390
94,5,22,17,9,2008,2008-05-11,10,6,1:26.773,1:26.466,1:28.417
95,5,22,4,4,2008,2008-05-11,5,7,1:26.836,1:26.522,1:28.422
96,5,22,15,7,2008,2008-05-11,11,8,1:26.695,1:26.822,1:28.836
97,5,22,2,2,2008,2008-05-11,3,9,1:27.107,1:27.607,1:28.882
98,5,22,14,9,2008,2008-05-11,9,10,1:26.939,1:26.520,1:29.959
99,5,22,3,3,2008,2008-05-11,7,11,1:27.367,1:27.012,\N
100,5,22,22,11,2008,2008-05-11,17,12,1:27.355,1:27.219,\N
101,5,22,18,11,2008,2008-05-11,16,13,1:27.428,1:27.298,\N
102,5,22,20,5,2008,2008-05-11,15,14,1:27.442,1:27.412,\N
103,5,22,10,7,2008,2008-05-11,12,15,1:26.614,1:27.806,\N
104,5,22,6,3,2008,2008-05-11,8,16,1:27.547,\N,\N
105,5,22,12,4,2008,2008-05-11,6,17,1:27.568,\N,\N
106,5,22,7,5,2008,2008-05-11,14,18,1:27.621,\N,\N
107,5,22,21,10,2008,2008-05-11,21,19,1:27.807,\N,\N
108,5,22,16,10,2008,2008-05-11,20,20,1:28.325,\N,\N
109,6,23,13,6,2008,2008-05-25,2,1,1:15.190,1:15.110,1:15.787
110,6,23,8,6,2008,2008-05-25,1,2,1:15.717,1:15.404,1:15.815
111,6,23,1,1,2008,2008-05-25,22,3,1:15.582,1:15.322,1:15.839
112,6,23,5,1,2008,2008-05-25,23,4,1:15.295,1:15.389,1:16.165
113,6,23,9,2,2008,2008-05-25,4,5,1:15.977,1:15.483,1:16.171
114,6,23,3,3,2008,2008-05-25,7,6,1:15.935,1:15.287,1:16.548
115,6,23,4,4,2008,2008-05-25,5,7,1:16.646,1:15.827,1:16.852
116,6,23,15,7,2008,2008-05-25,11,8,1:16.306,1:15.598,1:17.203
117,6,23,17,9,2008,2008-05-25,10,9,1:16.074,1:15.745,1:17.343
118,6,23,14,9,2008,2008-05-25,9,10,1:16.086,1:15.839,\N
119,6,23,10,7,2008,2008-05-25,12,11,1:16.285,1:15.907,\N
120,6,23,18,11,2008,2008-05-25,16,12,1:16.259,1:16.101,\N
121,6,23,2,2,2008,2008-05-25,3,13,1:16.650,1:16.455,\N
122,6,23,6,3,2008,2008-05-25,8,14,1:16.756,1:16.479,\N
123,6,23,22,11,2008,2008-05-25,17,15,1:16.208,1:16.537,\N
124,6,23,7,5,2008,2008-05-25,14,16,1:16.806,\N,\N
125,6,23,12,4,2008,2008-05-25,6,17,1:16.933,\N,\N
126,6,23,20,5,2008,2008-05-25,15,18,1:16.955,\N,\N
127,6,23,16,10,2008,2008-05-25,20,19,1:17.225,\N,\N
128,6,23,21,10,2008,2008-05-25,21,20,1:17.823,\N,\N
129,7,24,1,1,2008,2008-06-08,22,1,1:16.909,1:17.034,1:17.886
130,7,24,9,2,2008,2008-06-08,4,2,1:17.471,1:17.679,1:18.498
131,7,24,8,6,2008,2008-06-08,1,3,1:17.301,1:17.364,1:18.735
132,7,24,4,4,2008,2008-06-08,5,4,1:17.415,1:17.488,1:18.746
133,7,24,3,3,2008,2008-06-08,7,5,1:17.991,1:17.891,1:18.844
134,7,24,13,6,2008,2008-06-08,2,6,1:17.231,1:17.353,1:19.048
135,7,24,5,1,2008,2008-06-08,23,7,1:17.287,1:17.684,1:19.089
136,7,24,2,2,2008,2008-06-08,3,8,1:18.082,1:17.781,1:19.633
137,7,24,22,11,2008,2008-06-08,17,9,1:18.256,1:18.020,1:20.848
138,7,24,17,9,2008,2008-06-08,10,10,1:17.582,1:17.523,\N
139,7,24,10,7,2008,2008-06-08,12,11,1:18.321,1:18.031,\N
140,7,24,6,3,2008,2008-06-08,8,12,1:17.638,1:18.062,\N
141,7,24,14,9,2008,2008-06-08,9,13,1:18.168,1:18.238,\N
142,7,24,15,7,2008,2008-06-08,11,14,1:18.039,1:18.327,\N
143,7,24,12,4,2008,2008-06-08,6,15,1:18.505,1:18.393,\N
144,7,24,7,5,2008,2008-06-08,14,16,1:18.916,\N,\N
145,7,24,16,10,2008,2008-06-08,20,17,1:19.108,\N,\N
146,7,24,21,10,2008,2008-06-08,21,18,1:19.165,\N,\N
147,7,24,18,11,2008,2008-06-08,16,19,1:23.565,\N,\N
148,7,24,20,5,2008,2008-06-08,15,20,\N,\N,\N
149,8,25,8,6,2008,2008-06-22,1,1,1:15.133,1:15.161,1:16.449
150,8,25,13,6,2008,2008-06-22,2,2,1:15.024,1:15.041,1:16.490
151,8,25,1,1,2008,2008-06-22,22,3,1:15.634,1:15.293,1:16.693
152,8,25,4,4,2008,2008-06-22,5,4,1:15.754,1:15.483,1:16.840
153,8,25,15,7,2008,2008-06-22,11,5,1:15.521,1:15.362,1:16.920
154,8,25,5,1,2008,2008-06-22,23,6,1:15.965,1:15.639,1:16.944
155,8,25,9,2,2008,2008-06-22,4,7,1:15.687,1:15.723,1:17.037
156,8,25,17,9,2008,2008-06-22,10,8,1:16.020,1:15.488,1:17.233
157,8,25,14,9,2008,2008-06-22,9,9,1:15.802,1:15.654,1:17.426
158,8,25,10,7,2008,2008-06-22,12,10,1:15.727,1:15.558,1:17.596
159,8,25,12,4,2008,2008-06-22,6,11,1:15.848,1:15.770,\N
160,8,25,2,2,2008,2008-06-22,3,12,1:16.006,1:15.786,\N
161,8,25,20,5,2008,2008-06-22,15,13,1:15.918,1:15.816,\N
162,8,25,7,5,2008,2008-06-22,14,14,1:16.072,1:16.045,\N
163,8,25,3,3,2008,2008-06-22,7,15,1:16.085,1:16.235,\N
164,8,25,6,3,2008,2008-06-22,8,16,1:16.243,\N,\N
165,8,25,18,11,2008,2008-06-22,16,17,1:16.306,\N,\N
166,8,25,22,11,2008,2008-06-22,17,18,1:16.330,\N,\N
167,8,25,21,10,2008,2008-06-22,21,19,1:16.971,\N,\N
168,8,25,16,10,2008,2008-06-22,20,20,1:17.053,\N,\N
169,9,26,5,1,2008,2008-07-06,23,1,1:19.957,1:19.597,1:21.049
170,9,26,17,9,2008,2008-07-06,10,2,1:20.982,1:19.710,1:21.554
171,9,26,8,6,2008,2008-07-06,1,3,1:20.370,1:19.971,1:21.706
172,9,26,1,1,2008,2008-07-06,22,4,1:20.288,1:19.537,1:21.835
173,9,26,2,2,2008,2008-07-06,3,5,1:21.022,1:19.802,1:21.873
174,9,26,4,4,2008,2008-07-06,5,6,1:20.998,1:19.992,1:22.029
175,9,26,12,4,2008,2008-07-06,6,7,1:20.818,1:20.115,1:22.491
176,9,26,20,5,2008,2008-07-06,15,8,1:20.318,1:20.109,1:23.251
177,9,26,13,6,2008,2008-07-06,2,9,1:20.676,1:20.086,1:23.305
178,9,26,9,2,2008,2008-07-06,4,10,1:20.444,1:19.788,\N
179,9,26,14,9,2008,2008-07-06,9,11,1:21.224,1:20.174,\N
180,9,26,10,7,2008,2008-07-06,12,12,1:20.893,1:20.274,\N
181,9,26,7,5,2008,2008-07-06,14,13,1:20.584,1:20.531,\N
182,9,26,15,7,2008,2008-07-06,11,14,1:21.145,1:20.601,\N
183,9,26,6,3,2008,2008-07-06,8,15,1:21.407,1:21.112,\N
184,9,26,22,11,2008,2008-07-06,17,16,1:21.512,\N,\N
185,9,26,18,11,2008,2008-07-06,16,17,1:21.631,\N,\N
186,9,26,3,3,2008,2008-07-06,7,18,1:21.668,\N,\N
187,9,26,16,10,2008,2008-07-06,20,19,1:21.786,\N,\N
188,9,26,21,10,2008,2008-07-06,21,20,1:21.885,\N,\N
189,10,27,1,1,2008,2008-07-20,22,1,1:15.218,1:14.603,1:15.666
190,10,27,13,6,2008,2008-07-20,2,2,1:14.921,1:14.747,1:15.859
191,10,27,5,1,2008,2008-07-20,23,3,1:15.476,1:14.855,1:16.143
192,10,27,15,7,2008,2008-07-20,11,4,1:15.560,1:15.122,1:16.191
193,10,27,4,4,2008,2008-07-20,5,5,1:15.917,1:14.943,1:16.385
194,10,27,8,6,2008,2008-07-20,1,6,1:15.201,1:14.949,1:16.389
195,10,27,9,2,2008,2008-07-20,4,7,1:15.985,1:15.109,1:16.521
196,10,27,17,9,2008,2008-07-20,10,8,1:15.900,1:15.481,1:17.014
197,10,27,20,5,2008,2008-07-20,15,9,1:15.532,1:15.420,1:17.244
198,10,27,14,9,2008,2008-07-20,9,10,1:15.975,1:15.338,1:17.503
199,10,27,10,7,2008,2008-07-20,12,11,1:15.560,1:15.508,\N
200,10,27,2,2,2008,2008-07-20,3,12,1:15.596,1:15.581,\N
201,10,27,3,3,2008,2008-07-20,7,13,1:15.863,1:15.633,\N
202,10,27,18,11,2008,2008-07-20,16,14,1:15.993,1:15.701,\N
203,10,27,7,5,2008,2008-07-20,14,15,1:15.927,1:15.858,\N
204,10,27,6,3,2008,2008-07-20,8,16,1:16.083,\N,\N
205,10,27,12,4,2008,2008-07-20,6,17,1:16.189,\N,\N
206,10,27,22,11,2008,2008-07-20,17,18,1:16.246,\N,\N
207,10,27,16,10,2008,2008-07-20,20,19,1:16.657,\N,\N
208,10,27,21,10,2008,2008-07-20,21,20,1:16.963,\N,\N
209,11,28,1,1,2008,2008-08-03,22,1,1:19.376,1:19.473,1:20.899
210,11,28,5,1,2008,2008-08-03,23,2,1:19.945,1:19.480,1:21.140
211,11,28,13,6,2008,2008-08-03,2,3,1:19.578,1:19.068,1:21.191
212,11,28,9,2,2008,2008-08-03,4,4,1:20.053,1:19.776,1:21.281
213,11,28,10,7,2008,2008-08-03,12,5,1:19.980,1:19.246,1:21.326
214,11,28,8,6,2008,2008-08-03,1,6,1:20.006,1:19.546,1:21.516
215,11,28,4,4,2008,2008-08-03,5,7,1:20.229,1:19.816,1:21.698
216,11,28,17,9,2008,2008-08-03,10,8,1:20.073,1:20.046,1:21.732
217,11,28,15,7,2008,2008-08-03,11,9,1:19.942,1:19.486,1:21.767
218,11,28,12,4,2008,2008-08-03,6,10,1:20.583,1:20.131,1:22.371
219,11,28,20,5,2008,2008-08-03,15,11,1:20.157,1:20.144,\N
220,11,28,18,11,2008,2008-08-03,16,12,1:20.888,1:20.332,\N
221,11,28,14,9,2008,2008-08-03,9,13,1:20.505,1:20.502,\N
222,11,28,7,5,2008,2008-08-03,14,14,1:20.640,1:20.963,\N
223,11,28,3,3,2008,2008-08-03,7,15,1:20.748,\N,\N
224,11,28,2,2,2008,2008-08-03,3,16,1:21.045,\N,\N
225,11,28,6,3,2008,2008-08-03,8,17,1:21.085,\N,\N
226,11,28,22,11,2008,2008-08-03,17,18,1:21.332,\N,\N
227,11,28,21,10,2008,2008-08-03,21,19,1:21.670,\N,\N
228,11,28,16,10,2008,2008-08-03,20,20,1:22.113,\N,\N
229,12,29,13,6,2008,2008-08-24,2,1,1:38.176,1:37.859,1:38.989
230,12,29,1,1,2008,2008-08-24,22,2,1:38.464,1:37.954,1:39.199
231,12,29,9,2,2008,2008-08-24,4,3,1:38.347,1:38.050,1:39.392
232,12,29,8,6,2008,2008-08-24,1,4,1:38.703,1:38.229,1:39.488
233,12,29,5,1,2008,2008-08-24,23,5,1:38.656,1:38.120,1:39.937
234,12,29,20,5,2008,2008-08-24,15,6,1:38.141,1:37.842,1:40.142
235,12,29,15,7,2008,2008-08-24,11,7,1:37.948,1:37.928,1:40.309
236,12,29,2,2,2008,2008-08-24,3,8,1:38.738,1:37.859,1:40.631
237,12,29,3,3,2008,2008-08-24,7,9,1:38.595,1:38.336,1:40.721
238,12,29,7,5,2008,2008-08-24,14,10,1:38.622,1:38.417,1:40.750
239,12,29,6,3,2008,2008-08-24,8,11,1:38.667,1:38.428,\N
240,12,29,4,4,2008,2008-08-24,5,12,1:38.268,1:38.435,\N
241,12,29,10,7,2008,2008-08-24,12,13,1:38.532,1:38.499,\N
242,12,29,17,9,2008,2008-08-24,10,14,1:38.559,1:38.515,\N
243,12,29,12,4,2008,2008-08-24,6,15,1:38.787,1:38.744,\N
244,12,29,18,11,2008,2008-08-24,16,16,1:38.880,\N,\N
245,12,29,14,9,2008,2008-08-24,9,17,1:39.235,\N,\N
246,12,29,21,10,2008,2008-08-24,21,18,1:39.268,\N,\N
247,12,29,22,11,2008,2008-08-24,17,19,1:39.811,\N,\N
248,12,29,16,10,2008,2008-08-24,20,20,1:39.943,\N,\N
249,13,30,1,1,2008,2008-09-07,22,1,1:46.887,1:46.088,1:47.338
250,13,30,13,6,2008,2008-09-07,2,2,1:46.873,1:46.391,1:47.678
251,13,30,5,1,2008,2008-09-07,23,3,1:46.812,1:46.037,1:47.815
252,13,30,8,6,2008,2008-09-07,1,4,1:46.960,1:46.298,1:47.992
253,13,30,2,2,2008,2008-09-07,3,5,1:47.419,1:46.311,1:48.315
254,13,30,4,4,2008,2008-09-07,5,6,1:47.154,1:46.491,1:48.504
255,13,30,17,9,2008,2008-09-07,10,7,1:47.270,1:46.814,1:48.736
256,13,30,9,2,2008,2008-09-07,4,8,1:47.093,1:46.494,1:48.763
257,13,30,7,5,2008,2008-09-07,14,9,1:46.777,1:46.544,1:48.951
258,13,30,20,5,2008,2008-09-07,15,10,1:47.152,1:46.804,1:50.319
259,13,30,15,7,2008,2008-09-07,11,11,1:47.400,1:46.949,\N
260,13,30,12,4,2008,2008-09-07,6,12,1:47.052,1:46.965,\N
261,13,30,10,7,2008,2008-09-07,12,13,1:47.359,1:46.995,\N
262,13,30,14,9,2008,2008-09-07,9,14,1:47.132,1:47.018,\N
263,13,30,3,3,2008,2008-09-07,7,15,1:47.503,1:47.429,\N
264,13,30,22,11,2008,2008-09-07,17,16,1:48.153,\N,\N
265,13,30,18,11,2008,2008-09-07,16,17,1:48.211,\N,\N
266,13,30,16,10,2008,2008-09-07,20,18,1:48.226,\N,\N
267,13,30,6,3,2008,2008-09-07,8,19,1:48.268,\N,\N
268,13,30,21,10,2008,2008-09-07,21,20,1:48.447,\N,\N
269,14,31,20,5,2008,2008-09-14,15,1,1:35.464,1:35.837,1:37.555
270,14,31,5,1,2008,2008-09-14,23,2,1:35.214,1:35.843,1:37.631
271,14,31,17,9,2008,2008-09-14,10,3,1:36.001,1:36.306,1:38.117
272,14,31,7,5,2008,2008-09-14,14,4,1:35.543,1:36.175,1:38.445
273,14,31,3,3,2008,2008-09-14,7,5,1:35.485,1:35.898,1:38.767
274,14,31,13,6,2008,2008-09-14,2,6,1:35.536,1:36.676,1:38.894
275,14,31,15,7,2008,2008-09-14,11,7,1:35.906,1:36.008,1:39.152
276,14,31,4,4,2008,2008-09-14,5,8,1:36.297,1:36.518,1:39.751
277,14,31,10,7,2008,2008-09-14,12,9,1:35.737,1:36.525,1:39.787
278,14,31,2,2,2008,2008-09-14,3,10,1:35.709,1:36.626,1:39.906
279,14,31,9,2,2008,2008-09-14,4,11,1:35.553,1:36.697,\N
280,14,31,21,10,2008,2008-09-14,21,12,1:36.280,1:36.698,\N
281,14,31,14,9,2008,2008-09-14,9,13,1:36.485,1:37.284,\N
282,14,31,8,6,2008,2008-09-14,1,14,1:35.965,1:37.522,\N
283,14,31,1,1,2008,2008-09-14,22,15,1:35.394,1:39.265,\N
284,14,31,22,11,2008,2008-09-14,17,16,1:36.510,\N,\N
285,14,31,12,4,2008,2008-09-14,6,17,1:36.630,\N,\N
286,14,31,6,3,2008,2008-09-14,8,18,1:36.653,\N,\N
287,14,31,18,11,2008,2008-09-14,16,19,1:37.006,\N,\N
288,14,31,16,10,2008,2008-09-14,20,20,1:37.417,\N,\N
289,15,32,13,6,2008,2008-09-28,2,1,1:44.519,1:44.014,1:44.801
290,15,32,1,1,2008,2008-09-28,22,2,1:44.501,1:44.932,1:45.465
291,15,32,8,6,2008,2008-09-28,1,3,1:44.282,1:44.232,1:45.617
292,15,32,9,2,2008,2008-09-28,4,4,1:44.740,1:44.519,1:45.779
293,15,32,5,1,2008,2008-09-28,23,5,1:44.311,1:44.207,1:45.873
294,15,32,2,2,2008,2008-09-28,3,6,1:45.548,1:44.520,1:45.964
295,15,32,20,5,2008,2008-09-28,15,7,1:45.042,1:44.261,1:46.244
296,15,32,10,7,2008,2008-09-28,12,8,1:45.184,1:44.441,1:46.328
297,15,32,3,3,2008,2008-09-28,7,9,1:45.103,1:44.429,1:46.611
298,15,32,6,3,2008,2008-09-28,8,10,1:45.127,1:44.826,1:47.547
299,15,32,15,7,2008,2008-09-28,11,11,1:45.642,1:45.038,\N
300,15,32,18,11,2008,2008-09-28,16,12,1:45.660,1:45.133,\N
301,15,32,17,9,2008,2008-09-28,10,13,1:45.493,1:45.212,\N
302,15,32,14,9,2008,2008-09-28,9,14,1:46.028,1:45.298,\N
303,15,32,4,4,2008,2008-09-28,5,15,1:44.971,\N,\N
304,15,32,12,4,2008,2008-09-28,6,16,1:46.037,\N,\N
305,15,32,7,5,2008,2008-09-28,14,17,1:46.389,\N,\N
306,15,32,22,11,2008,2008-09-28,17,18,1:46.583,\N,\N
307,15,32,16,10,2008,2008-09-28,20,19,1:47.940,\N,\N
308,15,32,21,10,2008,2008-09-28,21,20,\N,\N,\N
309,16,33,1,1,2008,2008-10-12,22,1,1:18.071,1:17.462,1:18.404
310,16,33,8,6,2008,2008-10-12,1,2,1:18.160,1:17.733,1:18.644
311,16,33,5,1,2008,2008-10-12,23,3,1:18.220,1:17.360,1:18.821
312,16,33,4,4,2008,2008-10-12,5,4,1:18.290,1:17.871,1:18.852
313,16,33,13,6,2008,2008-10-12,2,5,1:18.110,1:17.287,1:18.874
314,16,33,9,2,2008,2008-10-12,4,6,1:18.684,1:17.931,1:18.979
315,16,33,15,7,2008,2008-10-12,11,7,1:18.501,1:17.541,1:19.026
316,16,33,10,7,2008,2008-10-12,12,8,1:17.945,1:17.670,1:19.118
317,16,33,20,5,2008,2008-10-12,15,9,1:18.559,1:17.714,1:19.638
318,16,33,7,5,2008,2008-10-12,14,10,1:18.593,1:18.102,1:20.167
319,16,33,14,9,2008,2008-10-12,9,11,1:18.303,1:18.187,\N
320,16,33,12,4,2008,2008-10-12,6,12,1:18.300,1:18.274,\N
321,16,33,17,9,2008,2008-10-12,10,13,1:18.372,1:18.354,\N
322,16,33,6,3,2008,2008-10-12,8,14,1:18.640,1:18.594,\N
323,16,33,3,3,2008,2008-10-12,7,15,1:18.740,1:18.672,\N
324,16,33,2,2,2008,2008-10-12,3,16,1:18.835,\N,\N
325,16,33,22,11,2008,2008-10-12,17,17,1:18.882,\N,\N
326,16,33,18,11,2008,2008-10-12,16,18,1:19.100,\N,\N
327,16,33,16,10,2008,2008-10-12,20,19,1:19.163,\N,\N
328,16,33,21,10,2008,2008-10-12,21,20,1:19.910,\N,\N
329,17,34,1,1,2008,2008-10-19,22,1,1:35.566,1:34.947,1:36.303
330,17,34,8,6,2008,2008-10-19,1,2,1:35.983,1:35.355,1:36.645
331,17,34,13,6,2008,2008-10-19,2,3,1:35.971,1:35.135,1:36.889
332,17,34,4,4,2008,2008-10-19,5,4,1:35.769,1:35.461,1:36.927
333,17,34,5,1,2008,2008-10-19,23,5,1:35.623,1:35.216,1:36.930
334,17,34,17,9,2008,2008-10-19,10,6,1:36.238,1:35.686,1:37.083
335,17,34,2,2,2008,2008-10-19,3,7,1:36.224,1:35.403,1:37.201
336,17,34,20,5,2008,2008-10-19,15,8,1:35.752,1:35.386,1:37.685
337,17,34,15,7,2008,2008-10-19,11,9,1:36.104,1:35.715,1:37.934
338,17,34,7,5,2008,2008-10-19,14,10,1:36.239,1:35.478,1:38.885
339,17,34,12,4,2008,2008-10-19,6,11,1:36.029,1:35.722,\N
340,17,34,9,2,2008,2008-10-19,4,12,1:36.503,1:35.814,\N
341,17,34,10,7,2008,2008-10-19,12,13,1:36.210,1:35.937,\N
342,17,34,22,11,2008,2008-10-19,17,14,1:36.640,1:36.079,\N
343,17,34,3,3,2008,2008-10-19,7,15,1:36.434,1:36.210,\N
344,17,34,14,9,2008,2008-10-19,9,16,1:36.731,\N,\N
345,17,34,6,3,2008,2008-10-19,8,17,1:36.863,\N,\N
346,17,34,18,11,2008,2008-10-19,16,18,1:37.053,\N,\N
347,17,34,16,10,2008,2008-10-19,20,19,1:37.730,\N,\N
348,17,34,21,10,2008,2008-10-19,21,20,1:37.739,\N,\N
349,18,35,13,6,2008,2008-11-02,2,1,1:11.830,1:11.875,1:12.368
350,18,35,15,7,2008,2008-11-02,11,2,1:12.226,1:12.107,1:12.737
351,18,35,8,6,2008,2008-11-02,1,3,1:12.083,1:11.950,1:12.825
